INFO  - 2016-03-08 18:53:25.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2016-03-08 18:53:25.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2016-03-08 18:53:25.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2016-03-08 18:53:25.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2016-03-08 18:53:25.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.787; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/dist/solr-cell-4.7.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.788; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.788; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.788; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.788; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-03-08 18:53:25.789; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-03-08 18:53:25.789; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.789; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-03-08 18:53:25.789; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-03-08 18:53:25.790; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/dist/solr-clustering-4.7.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.791; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-03-08 18:53:25.791; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2016-03-08 18:53:25.792; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/dist/solr-langid-4.7.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.793; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.793; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-03-08 18:53:25.793; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-03-08 18:53:25.793; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-03-08 18:53:25.794; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/elele/solr/solr-4.7.2/dist/solr-velocity-4.7.2.jar' to classloader
INFO  - 2016-03-08 18:53:25.995; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-03-08 18:53:26.000; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2016-03-08 18:53:26.127; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-03-08 18:53:26.132; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2016-03-08 18:53:26.208; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-03-08 18:53:26.714; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-03-08 18:53:26.800; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-03-08 18:53:26.806; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-03-08 18:53:26.933; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-03-08 18:53:26.939; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/elele/solr/solr-4.7.2/example/solr/collection1/, dataDir=/Users/elele/solr/solr-4.7.2/example/solr/collection1/data/
INFO  - 2016-03-08 18:53:26.941; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-03-08 18:53:26.945; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-03-08 18:53:26.945; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-03-08 18:53:26.966; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/elele/solr/solr-4.7.2/example/solr/collection1/data
INFO  - 2016-03-08 18:53:26.967; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/elele/solr/solr-4.7.2/example/solr/collection1/data/index/
WARN  - 2016-03-08 18:53:26.967; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/elele/solr/solr-4.7.2/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2016-03-08 18:53:26.976; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/elele/solr/solr-4.7.2/example/solr/collection1/data/index
INFO  - 2016-03-08 18:53:27.024; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/elele/solr/solr-4.7.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/elele/solr/solr-4.7.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-03-08 18:53:27.025; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-03-08 18:53:27.029; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-03-08 18:53:27.029; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-03-08 18:53:27.030; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-03-08 18:53:27.033; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-03-08 18:53:27.033; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-03-08 18:53:27.128; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-03-08 18:53:27.136; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.136; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.138; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-03-08 18:53:27.138; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.141; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-03-08 18:53:27.141; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2016-03-08 18:53:27.141; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2016-03-08 18:53:27.141; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-03-08 18:53:27.142; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-03-08 18:53:27.142; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-03-08 18:53:27.142; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-03-08 18:53:27.143; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-03-08 18:53:27.143; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-03-08 18:53:27.144; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-03-08 18:53:27.146; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-03-08 18:53:27.148; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-03-08 18:53:27.156; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-03-08 18:53:27.156; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.156; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.156; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.157; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.157; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.157; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.157; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.157; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.157; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.158; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-03-08 18:53:27.177; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-03-08 18:53:27.178; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-03-08 18:53:27.179; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-03-08 18:53:27.193; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-03-08 18:53:27.193; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-03-08 18:53:27.197; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/elele/solr/solr-4.7.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/elele/solr/solr-4.7.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-03-08 18:53:27.197; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-03-08 18:53:27.203; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@2dcf0c3[collection1] main
INFO  - 2016-03-08 18:53:27.207; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-03-08 18:53:27.213; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-03-08 18:53:27.220; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-03-08 18:53:27.222; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
